BR-UF;UF;Estado;Qtd_mun_COM_FMCA;Qtd_Municipios;Prop_Mun_FMCA_Tt_Mun
BR-AC;AC;Acre;22;22;1.00
BR-AL;AL;Alagoas;92;102;0.90
BR-AM;AM;Amazonas;40;62;0.65
BR-AP;AP;Amapa;9;16;0.56
BR-BA;BA;Bahia;309;417;0.74
BR-CE;CE;Ceara;184;184;1.00
BR-DF;DF;Distrito Federal;1;1;1.00
BR-ES;ES;Espirito Santo;69;78;0.88
BR-GO;GO;Goias;229;246;0.93
BR-MA;MA;Maranhao;145;217;0.67
BR-MG;MG;Minas Gerais;718;853;0.84
BR-MS;MS;Mato Grosso do Sul;79;79;1.00
BR-MT;MT;Mato Grosso;138;141;0.98
BR-PA;PA;Para;124;144;0.86
BR-PB;PB;Paraiba;193;223;0.87
BR-PE;PE;Pernambuco;149;185;0.81
BR-PI;PI;Piaui;179;224;0.80
BR-PR;PR;Parana;399;399;1.00
BR-RJ;RJ;Rio de Janeiro;92;92;1.00
BR-RN;RN;Rio Grande do Norte;115;167;0.69
BR-RO;RO;Rondonia;52;52;1.00
BR-RR;RR;Roraima;12;15;0.80
BR-RS;RS;Rio Grande do Sul;461;497;0.93
BR-SC;SC;Santa Catarina;295;295;1.00
BR-SE;SE;Sergipe;48;75;0.64
BR-SP;SP;Sao Paulo;564;645;0.87
BR-TO;TO;Tocantins;102;139;0.73